codigo	codigoselo	tipo	seloatopai	datarecolhimento	valoremolumento	valorfrj	valorfrc	selovalor	naturezaato	tipoparticipacao
1146	843322	101	1146	14/01/2022	106,4	15,96	2,66	0,85	4999	4000
1147	843323	101	1147	21/01/2022	316	47,4	7,9	0,85	4001	4000
1148	843324	101	1148	22/01/2022	316	47,4	7,9	0,85	4001	4000
1148	843324	101	1148	22/01/2022	316	47,4	7,9	0,85	4001	4000
1149	843325	101	1149	28/01/2022	316	47,4	7,9	0,85	4001	4000
746	308194	102	746	14/01/2022	0	0	0	0	4001	4000
747	308195	102	747	19/01/2022	0	0	0	0	4009	4000
748	308196	102	748	19/01/2022	0	0	0	0	4009	4000
749	308197	102	749	20/01/2022	0	0	0	0	4008	4000
749	308197	102	749	20/01/2022	0	0	0	0	4008	4000
750	308198	102	750	20/01/2022	0	0	0	0	4001	4000
750	308198	102	750	20/01/2022	0	0	0	0	4001	4000
1196	2389564	104	1196	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1197	2389565	104	1197	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1198	2389566	104	1198	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1199	2389567	104	1199	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1200	2389568	104	1200	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1201	2389569	104	1201	06/01/2022	6,4	0,96	0,16	0,45	3018	3032
1202	2389570	104	1202	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1203	2389571	104	1203	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1204	2389572	104	1204	06/01/2022	6,4	0,96	0,16	0,45	3018	3032
1205	2389573	104	1205	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1206	2389574	104	1206	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1207	2389575	104	1207	06/01/2022	6,4	0,96	0,16	0,45	3018	3031
1208	2389576	104	1208	07/01/2022	6,4	0,96	0,16	0,45	3018	3031
1209	2389577	104	1209	07/01/2022	6,4	0,96	0,16	0,45	3018	3031
1210	2389578	104	1210	07/01/2022	6,4	0,96	0,16	0,45	3018	3031
1211	2389579	104	1211	07/01/2022	6,4	0,96	0,16	0,45	3018	3031
1212	2389580	104	1212	07/01/2022	6,4	0,96	0,16	0,45	3018	3031
